Site,date_adjusted,order,CI,BA,year,month,t,t_mod,fi,hix,mhix,bix,a254,a300,E2_E3,S275_295,S350_400,SR,NO2.NO3,NH4,TOC_conc2,DOC,DIC,pH,cond,alk,Ca,K,Mg,Na,SO4,Cl,SiO2,Al,Fe,Mn,Zn,Cd,Cu,Ni,TOC_conc,TN_conc,TOC_conc3
C2,2020-10-06,8,C,A,2020,10,367,0,1.224779001,15.54718803,0.9395667712,0.445710614,37.48369913,20.47807924,5.830213822,0.01454372745,0.02077646021,0.7000098817,0.032,0.008,5.048817852,5.125,1.954,6.684531212,23.39999962,0.1561553776,3.046896,0.364343,0.443519,0.815365,2.02363997,0.139009108,7.59,0.134701,0.015087,0.003157,0.013651,0,0.002014,0.000034,420.36,16.43,5.048817852
C1,2020-10-07,8,C,A,2020,10,368,0,1.230208401,8.073196397,0.889785258,0.4451659276,68.81784545,40.6547082,4.796715991,0.01239885557,0.01808765348,0.6854872346,-0.001,0.006,7.17621309,6.774,2.405,6.853366375,27.70000076,0.236470744,3.448109,0.651677,0.821381,0.892446,1.530529189,0.2202194953,8.46,0.218983,0.171676,0.004473,0.003401,0,0.0017,0.000121,597.485,16.33,7.17621309
H2,2020-10-16,9,H,A,2020,10,377,9,1.310135512,6.858291676,0.872745879,0.4562107989,13.04476357,7.461972398,5.231704945,0.01400003997,0.02109553369,0.6636494801,0.347,0.001,1.841600631,1.804,3.409,6.887634277,37.09999847,0.2710669935,4.28913,0.317145,0.878495,1.184928,2.529817672,0.1925612516,9.96,0.043989,0.009007,0.000887,0.004725,0,0.000666,0.000321,153.33,29.07,1.841600631
H1,2020-10-17,9,H,A,2020,10,378,10,1.269334641,9.561658367,0.9053178994,0.462598413,16.63852624,10.00783182,5.127707379,0.012061015,0.01879433091,0.6417368651,0.337,0.018,2.168051457,2.206,1.986,6.464718819,25.89999962,0.156669125,2.980349,0.337615,0.53079,0.916003,2.098530169,0.1292466886,7.61,0.065891,0.022571,0.005933,0.003233,0,0.001475,0.000187,180.51,31.12,2.168051457
C2,2020-10-20,9,C,A,2020,10,381,13,1.272980297,15.75069264,0.9403009761,0.4471769223,41.84569227,23.23719426,5.717793623,0.0142523841,0.02042403499,0.6978241131,0.052,0.006,5.337795294,5.693,1.466,6.430174828,19.96999931,0.1205326915,2.596363,0.282086,0.371359,0.748307,1.709509614,0.1434723064,6.95,0.164242,0.019903,0.001489,0.003942,0,0.001683,0.000278,444.42,16.5,5.337795294
C1,2020-10-22,9,C,A,2020,10,383,15,1.209096115,15.82120707,0.9405512342,0.4111245071,65.57199211,39.72922459,4.608886387,0.01179190591,0.01772307738,0.6653418962,0.033,0.004,6.289042734,6.461,1.804,6.796178341,21.89999962,0.1572238505,2.739566,0.347945,0.601946,0.747769,1.411697014,0.1390233547,7.09,0.178428,0.141427,0.00541,0.002615,0,0.001333,0.000305,523.62,16.44,6.289042734
H2,2020-11-01,10,H,A,2020,11,393,25,1.432381714,5.443152285,0.8447964667,0.5354953366,5.512918917,3.025607138,6.470406716,0.01718741174,0.02714651248,0.6331351678,0.498,0.002,1.602107273,1.454,3.739,6.909322262,42.70000076,0.3031673431,4.977372,0.313889,1.043327,1.442393,2.803564738,0.1259760776,10.43,0.030066,0.007877,0.000833,0.015219,0,0.002614,0.000178,133.39,,1.602107273
H1,2020-11-02,10,H,A,2020,11,394,26,1.226904047,6.591903578,0.8682807296,0.4958195374,12.49951899,7.784704073,4.659559251,0.01181756781,0.01734853455,0.6811853631,0.509,0.002,2.177299696,1.696,2.08,6.521582603,27.70000076,0.1599277705,3.251059,0.311231,0.591583,1.016953,2.312215948,0.1207741103,8.42,0.050746,0.021231,0.0029,0.006161,0,0.000732,0.000128,181.28,,2.177299696
C2,2020-11-03,10,C,A,2020,11,395,27,1.205841424,17.52436081,0.9460170308,0.4272287968,40.38233256,22.78898952,5.506327896,0.01377591391,0.01959833525,0.7029124533,0.147,0.004,4.754195381,5.138,1.616,6.546868324,19.12999916,0.1080751121,2.378339,0.205244,0.343316,0.701321,1.774223906,0.1330814805,6.61,0.156003,0.020928,0.001059,0.004084,0.000017,0.001646,0.00017,395.83,22.23,4.754195381
C1,2020-11-04,10,C,A,2020,11,396,28,1.270838588,8.885955568,0.8988463995,0.4197515125,44.13932087,25.94101825,4.833637857,0.01270940246,0.01806319378,0.703607713,0.088,0.005,4.909493732,4.699,1.81,6.719908714,22.89999962,0.1451973915,2.774426,0.26448,0.618615,0.7972,1.736068933,0.1521343647,7.4,0.155226,0.13737,0.019257,0.003832,0.000037,0.001969,0.000255,408.76,18.43,4.909493732
C1,2021-05-25,11,C,A,2021,5,598,230,1.241039206,17.10381422,0.9447630213,0.4275736961,83.72248254,49.8346085,4.73529063,0.01244824838,0.01773188161,0.7020263645,0.039,0.019,N/A,8.757,2.145,6.597698212,25.89999962,0.2194728553,3.464333,0.413949,0.736007,0.931888,1.331722863,0.1228666188,2.35,0.070532,0.063125,0.007416,0.006679,0.000029,0.002375,0.000473,N/A,N/A,8.757
C2,2021-05-26,11,C,A,2021,5,599,231,1.308527153,6.444610532,0.8656746386,0.5439003252,33.20447295,17.96664801,5.83162891,0.01491810034,0.01979517099,0.7536232122,0.057,0.007,N/A,4.819,2.029,6.462863922,22.60000038,0.1682615727,3.096233,0.449512,0.438179,0.982219,1.846479975,0.1212086193,2.17,0.059575,0.012716,0.003204,0.003667,0.000043,0.002098,0.000397,N/A,N/A,4.819
H1,2021-05-27,11,H,A,2021,5,600,232,1.540230259,2.653204473,0.7262677172,0.8577138512,6.881475641,3.670536969,6.294600156,0.01416511899,0.02,0.7082559496,0.764,0.001,N/A,1.128,3.558,6.570489407,36.90000153,0.2855249345,4.352506,0.307684,0.822824,1.207665,2.469760809,0.1766010267,2.93,0.004203,0.006784,0.00287,0.001164,0.000018,0.002014,0.000153,N/A,N/A,1.128
H2,2021-05-28,11,H,A,2021,5,601,233,1.248533819,2.644513798,0.7256149776,0.7277065987,15.80309899,9.647002356,3.741937479,0.01256331522,0.01406005918,0.8935463974,0.577,0.015,N/A,2.448,4.846,6.634698868,53.5,0.4233500063,5.925884,0.662148,1.402285,1.883059,3.295117593,0.1522010373,5,0.009481,0.008898,0.008852,0.007766,0.000011,0.0017,0.000342,N/A,N/A,2.448
C2,2021-06-21,12,C,A,2021,6,625,257,1.416254842,9.518760955,0.9049317687,0.4611887721,46.87019859,26.10247663,5.532732396,0.01407428009,0.01943419158,0.7242019832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C1,2021-06-22,12,C,A,2021,6,626,258,1.351737132,14.9022638,0.9371158715,0.4497285797,60.49409327,35.51144214,4.778423827,0.01267656481,0.0177666528,0.7135032668,N/A,N/A,N/A,N/A,N/A,6.65293932,31.5,0.2813118398,4.375263,0.329043,0.96736,1.065306,1.248094597,0.145182079,3.72,0.026765,0.03869,0.00055,0.003018,0.000019,0.002424,0.000459,N/A,N/A,N/A
H1,2021-06-23,12,H,A,2021,6,627,259,1.761616089,2.608624573,0.722886108,0.7477974741,6.532800355,3.688779133,5.099436943,0.01332596849,0.01581512216,0.8426092673,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
H2,2021-06-24,12,H,A,2021,6,628,260,1.660756463,8.628275553,0.8961392417,0.5169229836,22.16958524,13.11120162,4.660941246,0.01279073881,0.01707917634,0.7489084109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C2,2021-07-19,13,C,A,2021,7,653,285,1.324073592,10.81225875,0.9153421863,0.506280249,31.07684095,17.14343658,5.372355247,0.01418470388,0.01828762391,0.7756449908,0.109,0.031,N/A,4.311,2.775,6.547342777,28.70000076,0.2462973595,3.894125,0.43393,0.590387,1.269851,2.054203805,0.1072292585,9.07,0.103816,0.040236,0.015106,0.004738,0.000024,0.002367,0.00044,N/A,N/A,4.311
C1,2021-07-20,13,C,A,2021,7,654,286,1.353767611,10.90331889,0.9159898168,0.4500473404,66.34391311,38.64804961,4.927686236,0.01291703658,0.01868351056,0.6913602529,0.051,0.021,N/A,7.608,3.55,6.78238678,37.79999924,0.3533962071,5.413919,0.362998,1.168153,1.187048,0.9938063454,0.1454022993,8.53,0.110282,0.158671,0.013225,0.005947,0.000027,0.003078,0.000539,N/A,N/A,7.608
